"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000250564.2",-4.99737789510998,-3.12355858683229,-5.46827774947625,3.54707118584798e-05,0.000238960585151864,2.37324251957684
"ENSG00000137509.11",-1.04871284351595,6.16963737943198,-5.46774035438068,3.55107397544887e-05,0.00023914577280989,1.91707786543017
"ENSG00000004142.12",-0.944813182134009,7.34979761653747,-5.46570644752034,3.5662655807133e-05,0.000240084070438984,1.95590261210276
"ENSG00000156515.24",2.4683285345129,4.88657380243843,5.46485726148229,3.57262803029388e-05,0.000240362142451923,2.04791665288899
"ENSG00000237248.5",-3.22203215164271,-0.0721120246765018,-5.46481876944791,3.57291670433726e-05,0.000240362142451923,2.41393476506395
"ENSG00000132341.12",1.08940694538282,6.79614770417933,5.46376993960741,3.58079170983334e-05,0.000240738001939689,1.94343923337476
"ENSG00000105771.14",1.41641487100644,4.10057085708487,5.46373847018072,3.58102826920562e-05,0.000240738001939689,2.0648437946931
"ENSG00000165434.8",2.57250359261942,2.4728530539533,5.46288697951445,3.58743511876958e-05,0.00024108373003937,2.24786522031249
"ENSG00000188368.10",2.19970123706895,-1.03608361993009,5.46154756697935,3.59753705244032e-05,0.000241677445100887,2.44431500683044
"ENSG00000253196.1",-4.89084372595198,-1.13645691810623,-5.4576878142439,3.62681120824193e-05,0.000243558251280247,2.43682862953776
"ENSG00000099256.19",2.79816433832505,1.47541060674792,5.45613398547014,3.63866510866973e-05,0.000244268289167719,2.31953360503892
"ENSG00000113924.12",-3.41994533827837,7.09907109812664,-5.45486010548885,3.64841299458878e-05,0.000244836497652348,1.93260285085411
"ENSG00000011638.11",2.76326607532298,2.62688369755102,5.45453669507653,3.65089203525413e-05,0.000244916682716731,2.22326556909319
"ENSG00000119318.13",-1.36392932675887,7.21230850571153,-5.45305552175043,3.66226780155738e-05,0.00024559343006787,1.92259531738651
"ENSG00000197774.13",1.39247541650946,2.68756294821644,5.45172911661253,3.67248579404065e-05,0.000246192088098219,2.18236499795364
"ENSG00000131910.5",-4.29580519511741,5.13977182095985,-5.45055622528968,3.68154557055191e-05,0.000246712709492502,1.9570547543826
"ENSG00000287787.1",-4.559002389448,-0.698781237015862,-5.4500736551323,3.68527975120239e-05,0.000246876204478159,2.41709370488475
"ENSG00000164066.13",1.77041586834667,2.22389602014417,5.4491958797886,3.69208204454586e-05,0.000247245044780824,2.22406259913459
"ENSG00000106633.17",-5.77443022000624,-0.576835932995931,-5.44879853943557,3.69516545807215e-05,0.00024736467397807,2.41772959910121
"ENSG00000160712.13",-3.02454573507971,5.16129480991071,-5.44853196186262,3.69723561677621e-05,0.000247416412923354,1.90310423080837
"ENSG00000182836.10",-2.99018241243574,1.10092099739296,-5.44804945740815,3.70098562484873e-05,0.000247570954451698,2.30660018918825
"ENSG00000099812.9",6.71911584629826,2.30162228347153,5.44784267771091,3.70259390456175e-05,0.000247570954451698,2.35833050312449
"ENSG00000091157.14",-1.31063021834957,3.62048986982875,-5.44773402742288,3.70343924628091e-05,0.000247570954451698,2.00755030595174
"ENSG00000120341.18",-1.84599773994648,0.1469467190424,-5.44715073263463,3.70798089592295e-05,0.000247787707242616,2.35797349197799
"ENSG00000130958.13",-1.26867257173883,2.34414916336322,-5.44659876410108,3.71228389822901e-05,0.000247927734208294,2.18715577198797
"ENSG00000109072.14",-4.5939179306918,10.1130793645189,-5.44654847146886,3.71267622115608e-05,0.000247927734208294,2.0735515023495
"ENSG00000229017.7",-2.49674706401147,-1.79346566675107,-5.44413457725917,3.73155666868257e-05,0.00024910132581419,2.40935633888812
"ENSG00000168496.4",1.58019557424827,3.76343521809523,5.44161183273976,3.75139384678515e-05,0.000250337940678399,2.06112115294312
"ENSG00000132394.11",-1.20432239747811,4.29265935371046,-5.43964584329699,3.76692810505636e-05,0.000251202869570027,1.9076586224233
"ENSG00000144026.12",1.49799552330634,3.45539852666455,5.43963810995412,3.76698934023844e-05,0.000251202869570027,2.08414615413349
"ENSG00000245848.3",-3.4993411238028,3.76271999007504,-5.43793225704364,3.78052185387402e-05,0.000252017171608127,2.02561210147949
"ENSG00000233308.2",-4.81623784216894,-3.5328732794609,-5.43586285220991,3.79700543092556e-05,0.000253027559673697,2.27873829901822
"ENSG00000168890.14",-0.874265860282175,4.35016432565905,-5.43549968155313,3.79990582041956e-05,0.000253104169613584,1.89565391629379
"ENSG00000070413.20",0.936786085624563,6.63441892443696,5.43538661617609,3.80080925845902e-05,0.000253104169613584,1.87659189367959
"ENSG00000167747.15",1.488824359857,4.92647255082736,5.43421750231997,3.81016388671603e-05,0.000253638553743275,1.92674540204237
"ENSG00000283991.1",-5.01322855434073,-3.13260889005294,-5.43328724033146,3.81762423038812e-05,0.000253967227828535,2.30712179968093
"ENSG00000103423.14",-0.841309071371596,5.95497348478101,-5.43326976951969,3.81776448293001e-05,0.000253967227828535,1.8396930975198
"ENSG00000130338.13",1.09932875807695,4.07292777133262,5.43250806936097,3.82388441965427e-05,0.000254285647320942,1.98646837874373
"ENSG00000125730.17",-2.66984985653562,12.7997332297998,-5.43125163796066,3.83400132380903e-05,0.000254869547743764,2.16770624729071
"ENSG00000188282.12",2.93092779133925,-0.665751357357846,5.43061531358762,3.83913554376468e-05,0.000255121927145226,2.38183292148446
"ENSG00000147475.17",-1.05650050965824,5.78292669368541,-5.43017366223046,3.84270318144088e-05,0.000255243156288782,1.8301138477938
"ENSG00000215045.8",3.72303459071197,-1.67397636912452,5.43005819810676,3.84363645585876e-05,0.000255243156288782,2.36618962231052
"ENSG00000137203.15",7.07191191625035,0.774912505389978,5.42841923140127,3.85690902658475e-05,0.000256035394900885,2.3777103021117
"ENSG00000072274.13",1.63290478397714,5.19800801962,5.42707921917067,3.86779557162789e-05,0.000256668744405313,1.90111762503974
