"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000147099.21",0.25031770053069,2.98774644114293,1.06320074788587,0.310111172823768,0.391736672943099,-6.55491081822356
"ENSG00000162065.14",-0.247245045418087,4.62618986509523,-1.06305945419218,0.310172500314174,0.391788192992378,-6.81346030682981
"ENSG00000101307.16",-0.738819197993596,-0.293662503424076,-1.06290811607011,0.310238197624934,0.391845225503492,-5.76652549693363
"ENSG00000215126.10",-0.379643304462214,0.530601203363562,-1.06267142130957,0.310340970028174,0.391927435822928,-6.11986764032113
"ENSG00000143355.16",-1.44427733478345,-1.83202696968597,-1.06266355428326,0.310344386314905,0.391927435822928,-5.57510678063047
"ENSG00000130294.17",-0.966151746467943,-1.33438388338855,-1.06251398651333,0.310409342076076,0.39198351136032,-5.86578869012162
"ENSG00000165072.10",-0.724904121054194,-0.485899309526377,-1.06215751887243,0.310564193533344,0.392153091834476,-5.82451338027755
"ENSG00000139219.19",-1.97061731330565,-4.63572510935584,-1.0620512178001,0.310610382522581,0.392185449551186,-5.32141668933475
"ENSG00000104859.15",0.250242375949494,4.97899577119154,1.06200079165459,0.310632295044069,0.392187152858499,-6.81226822574856
"ENSG00000169612.4",0.274350761534749,1.55512812640374,1.06171844549493,0.310755009127599,0.392309047507689,-6.29918688113404
"ENSG00000136490.9",0.524737674938091,3.67944792912012,1.06168285106636,0.310770481862855,0.392309047507689,-6.6722456774838
"ENSG00000253958.2",0.461215364985622,3.82647559515781,1.06163668355541,0.310790551530709,0.392309047507689,-6.73401510117845
"ENSG00000182487.12",-0.663587939035108,-1.35168356032465,-1.06109272256691,0.311027092355115,0.392581648272452,-5.70619558086058
"ENSG00000015171.20",0.221865367767549,5.85262989398849,1.06075030977398,0.311176059496451,0.392743683853902,-6.82863834708486
"ENSG00000106609.16",-0.154507646977052,6.80570861233355,-1.06039415119043,0.311331063597368,0.392913316895778,-6.81242693576261
"ENSG00000121964.14",0.241739664286435,3.28982774583238,1.06031320706377,0.311366299447127,0.392931784758526,-6.59307092898363
"ENSG00000278909.1",1.23280474249111,-5.44226924485284,1.05869548509591,0.312071139132813,0.393795207459376,-5.37074435303616
"ENSG00000136098.17",-0.535770662812424,2.38063670807809,-1.05835917593277,0.312217818851672,0.3939542336182,-6.35771676275239
"ENSG00000166848.7",-0.194672518144122,5.47406653698666,-1.05815951198659,0.312304925839533,0.394038075258771,-6.83657397113457
"ENSG00000240694.9",-0.582665207763907,0.120597815485475,-1.05802497892171,0.312363628586781,0.394086070278963,-5.89374221668659
"ENSG00000273983.1",1.30678799709853,-5.39620889521745,1.05795164824016,0.312395629502398,0.394094600380343,-5.33063504753254
"ENSG00000138138.13",-0.30367584324831,5.05238600355649,-1.0579147859914,0.312411716817869,0.394094600380343,-6.77526434325652
"ENSG00000271870.1",0.304261177837775,0.172596655338737,1.05677056076221,0.312911385253884,0.394698805526592,-6.18193292509942
"ENSG00000116903.7",0.286924691666279,3.70311112786262,1.05621027868681,0.3131562716118,0.394981576098159,-6.59526130074814
"ENSG00000124226.11",-0.147581833967424,5.79190154509962,-1.05609513825544,0.313206614622197,0.395018949482512,-6.8389043178208
"ENSG00000151617.17",0.531996180374243,2.08051782462434,1.05580330033019,0.313334242489548,0.395153783823359,-6.16851117065229
"ENSG00000165084.16",1.26196221407011,-4.4591438169791,1.05544885888899,0.313489300805242,0.395323191282569,-5.39505150666327
"ENSG00000226777.7",-1.50736434383044,-1.88019147023284,-1.05536335403558,0.313526715416355,0.395344232490627,-5.50936380047291
"ENSG00000130640.13",0.199696087948802,5.67992293674245,1.05457199906205,0.313873149705329,0.395731250263336,-6.83394068324997
"ENSG00000123201.14",1.94023986393732,-1.68702667670416,1.05456746021877,0.313875137517486,0.395731250263336,-5.46986867662903
"ENSG00000167528.13",0.352415351965445,3.81563456722118,1.0539684776171,0.314137548067914,0.396035914645113,-6.62317518382896
"ENSG00000123342.16",-0.713582663245743,2.51285334732758,-1.05387355715057,0.314179147206846,0.396062178301868,-6.07848919004205
"ENSG00000187621.15",1.34035950429118,-4.75823147097673,1.05347848020651,0.31435233500138,0.396254311510001,-5.3778519268215
